Subject, Start Date, Start Time, End Date, End Time, All Day Event, Description, Location, Private
WASP-96 (mag=0.0149),6/18/14,03:57:54 AM,6/18/14,07:03:29 AM,False,"WASP-96; Prediction URL: 'predict_detail.php?STARNAME=WASP-96&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 60°N,2456826.6791; End Transit: 55°NW,2456826.7802; Location: RA=00 04 11.14, DE=-47 21 38.2; D: 145.58; V: 12.2; Depth(Mag): 0.0149",GMUObservatory,False
WASP-23 (mag=0.0215),6/19/14,02:32:13 AM,6/19/14,05:35:56 AM,False,"WASP-23; Prediction URL: 'predict_detail.php?STARNAME=WASP-23&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 36°SE,2456827.6196; End Transit: 44°E,2456827.7194; Location: RA=06 44 30.50, DE=-42 45 41.2; D: 143.7; V: 12.68; Depth(Mag): 0.0215",GMUObservatory,False
WASP-64 (mag=0.0164),6/20/14,02:02:16 AM,6/20/14,05:06:16 AM,False,"WASP-64; Prediction URL: 'predict_detail.php?STARNAME=WASP-64&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 25°SE,2456828.5988; End Transit: 32°E,2456828.6988; Location: RA=06 44 27.61, DE=-32 51 30.25; D: 143.99; V: 12.29; Depth(Mag): 0.0164",GMUObservatory,False
WASP-19 (mag=0.0215),6/20/14,03:23:46 AM,6/20/14,05:36:04 AM,False,"WASP-19; Prediction URL: 'predict_detail.php?STARNAME=WASP-19&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 34°SE,2456828.6554; End Transit: 37°SE,2456828.7195; Location: RA=09 53 40.077, DE=-45 39 33.06; D: 92.4; V: 12.3; Depth(Mag): 0.0215",GMUObservatory,False
WASP-5 (mag=0.0137),6/21/14,02:26:53 AM,6/21/14,05:29:01 AM,False,"WASP-5; Prediction URL: 'predict_detail.php?STARNAME=WASP-5&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 54°N,2456829.6159; End Transit: 52°NW,2456829.7146; Location: RA=23 57 23.74, DE=-41 16 37.5; D: 142.128; V: 12.3; Depth(Mag): 0.0137",GMUObservatory,False
OGLE-TR-56 (mag=0.0171),6/22/14,02:02:42 AM,6/22/14,04:30:59 AM,False,"OGLE-TR-56; Prediction URL: 'predict_detail.php?STARNAME=OGLE-TR-56&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 31°W,2456830.5991; End Transit: 26°W,2456830.6743; Location: RA=17 56 35.51, DE=-29 32 21.2; D: 108.2; V: 16.6; Depth(Mag): 0.0171",GMUObservatory,False
OGLE-TR-111 (mag=0.0173),6/22/14,02:07:44 AM,6/22/14,05:32:20 AM,False,"OGLE-TR-111; Prediction URL: 'predict_detail.php?STARNAME=OGLE-TR-111&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 48°S,2456830.6026; End Transit: 51°SE,2456830.7169; Location: RA=10 53 17.91, DE=-61 24 20.3; D: 164.6; V: 15.55; Depth(Mag): 0.0173",GMUObservatory,False
OGLE-TR-10 (mag=0.0111),6/22/14,03:08:56 AM,6/22/14,06:29:47 AM,False,"OGLE-TR-10; Prediction URL: 'predict_detail.php?STARNAME=OGLE-TR-10&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 27°W,2456830.6451; End Transit: 20°SW,2456830.7568; Location: RA=17 51 28, DE=-29 52 34; D: 160.8; V: 14.93; Depth(Mag): 0.0111",GMUObservatory,False
WASP-72 (mag=0.0047),6/23/14,02:05:09 AM,6/23/14,06:29:30 AM,False,"WASP-72; Prediction URL: 'predict_detail.php?STARNAME=WASP-72&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 37°NE,2456831.6008; End Transit: 43°N,2456831.7566; Location: RA=02 44 09.60, DE=-30 10 08.5; D: 224.35; V: 10.88; Depth(Mag): 0.0047",GMUObservatory,False
OGLE-TR-L9 (mag=0.0119),6/23/14,02:56:16 AM,6/23/14,06:04:18 AM,False,"OGLE-TR-L9; Prediction URL: 'predict_detail.php?STARNAME=OGLE-TR-L9&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 49°S,2456831.6363; End Transit: 52°SE,2456831.7391; Location: RA=11 07 55.29, DE=-61 08 46.3; D: 148; V: 14; Depth(Mag): 0.0119",GMUObservatory,False
